point,station_index,station,Tt_degR,Pt_psi,MN
DESIGN,0,Freestream,518.6700000001039,14.695900000009628,1e-06
DESIGN,1,Inlet,518.6700000001039,14.695900000009628,0.6
DESIGN,2,Compressor,1187.7610184427178,198.39465000012999,0.02
DESIGN,3,Burner,2370.0,192.4428105001261,0.02
DESIGN,4,Turbine,1810.1129558284906,49.86680659812213,0.4
DESIGN,5,Nozzle,1810.1129558284906,49.86680659812213,1.4566146995624576
OD0,0,Freestream,518.6700000001038,14.69590000000962,1e-06
OD0,1,Inlet,518.6700000001038,14.69590000000962,0.5694179062302542
OD0,2,Compressor,1168.0671635655099,188.97227014794584,0.020181426034055903
OD0,3,Burner,2292.998985918766,183.30310204350747,0.01997392241612822
OD0,4,Turbine,1745.2941695983952,47.24551270270843,0.40170813311401415
OD0,5,Nozzle,1745.2941695983952,47.24551270270843,1.41882308612848
OD1,0,Freestream,504.84815979210885,12.548471970665583,0.2
OD1,1,Inlet,504.84815979210885,12.548471970665583,0.5411959555915039
OD1,2,Compressor,1118.7438142459985,153.12667439492557,0.020302479861237198
OD1,3,Burner,2171.346261530179,148.5328741630778,0.019947116059130892
OD1,4,Turbine,1648.053682488796,38.2614547415833,0.4005952026005535
OD1,5,Nozzle,1648.053682488796,38.2614547415833,1.398986378075589
