C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_ambient.py:FlowStartTestCase.test_case1 ... OK (00:00:0.04, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_bleed_out.py:BleedOutTestCase.test_case1 ... OK (00:00:0.54, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_cfd_start.py:CFDStartTestCase.test_case1 ... OK (00:00:0.67, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_combustor.py:BurnerTestCase.test_case1 ... OK (00:00:1.21, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_compressor.py:CompressorTestCase.test_case1 ... OK (00:00:2.40, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_compressor_map.py:CompressorMapTestCase.test_caseOD1 ... OK (00:00:0.22, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_compressor_od.py:CompressorODTestCase.test_case1 ... OK (00:00:6.62, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_cooling.py:Tests.test_cooling_calcs ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_cooling.py:Tests.test_row ... OK (00:00:0.20, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_cooling.py:Tests.test_turbine_cooling ... OK (00:00:0.74, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_duct.py:DuctTestCase.test_case1 ... OK (00:00:1.66, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_duct.py:DuctTestCase.test_case_with_dPqP_MN ... OK (00:00:0.67, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_flightconditions.py:FlightConditionsTestCase.test_case1 ... OK (00:00:1.49, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_flow_start.py:FlowStartTestCase.test_case1 ... OK (00:00:1.15, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_flow_start.py:FlowStartTestCase.test_case_tabular_thermo ... OK (00:00:0.06, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_flow_start.py:WARTestCase.test_fs_with_water ... OK (00:00:0.23, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_inlet.py:InletTestCase.test_case1 ... OK (00:00:0.95, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_inlet.py:MilSpecTestCase.test ... OK (00:00:0.01, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_mixer.py:MixerTestcase.test_mix_air_with_airfuel ... OK (00:00:1.03, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_mixer.py:MixerTestcase.test_mix_diff ... OK (00:00:0.86, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_mixer.py:MixerTestcase.test_mix_same ... OK (00:00:0.93, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_nozzle.py:NozzleTestCase.test_case1 ... OK (00:00:4.35, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_nozzle_CV_CD.py:NozzleTestCase.test_CD_CVnozzle ... OK (00:00:10.16, 0 MB)
C:\Users\c_joh\anaconda3\envs\pycycle311\Lib\site-packages\pycycle\elements\test\test_nozzle_CV_CD.py:NozzleTestCase.test_CD_CVnozzle_Cfg ... OK (00:00:9.96, 0 MB)
